Season 1,Chef 1,Chef 2,Chef 3,Chef 4,Judge,First Round Loser,Judge Look Order,Alton Talking Pre-Commercial,Alton Talking Post Commercial,Pre-Commercial Order,Post-Commercial Order,Second Round Loser,Judge Look Order,Alton Talking Pre-Commercial,Alton Talking Post-Commercial,Pre-Commercial Order,Post-Commercial Order,Final Loser,Judge Look Order,Alton Talking Order
Episode 1,Palmieri,Mims,Davidi,Glick,Tilla,2,41,,214,2314,2143,4,14,,41,41,,3,31,31
Episode 2,Sevan,DJ,D,Marr,Majumdar,3,,,312,,4321,1,21,,,12,,4,,24
Episode 3,Gianchetti,Pink,Gwen,Taylor,Majumdar,2,42,,1234,4123,,4,,,14,,,1,,
Episode 4,Stark,"Ulka a.k.a. ""Ninja""",Lori,Frankie,Lafasso,2,,,,2341,3214,1,,,341,413,,3,,
Episode 5,Sipione,Charles,Cutting,Zadi,Majumdar,1,,,,2431,3412,3,,,,32,32,4,2,24
Episode 6,Dominique,Brian,McNutt,Ashe,Lafasso,4,,,,1234,2413,3,,,13,31,,1,12,21
Episode 7,Kyrtatas,Lizette,Marquis,Kwan,Tilla,4,4,214,2413,3421,2413,2,,,,321,321,1,,
Episode 8,Brock,Kori,Tippins,Cazel,Majumdar,3,,,1234,4231,4231,1,,214,,,41,1,,21
Episode 9,Mae,BC,Willen,Paddy,Tilla,3,13,,2134,4231,,2,42,,142,124,41241,4,,14
Episode 10,Decarlo,Kellan,Ma-Le,Greg,Tilla,1,,,,3124,312,2,3,,32,23,32,4,,
Episode 11,Mortenson,Elyse,Hisley,Leblanc,Lafasso,1,,3121,,4321,4312,3,,,,231,132,2,,
Episode 12,Jack,Sandra,Michael,Chris,Lafasso,4,,4123,42413,,,3,,,,213,123,1,21,
Episode 13,Wang,Tiffany,Rocco,Blanckenberg,Tilla,4,,,,1423,,1,,13,,13,31,3,,
